index,uri,danceability,acousticness,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,mood_string
119,spotify:track:41Ic4tOAkz5NMfNNQ14bW6,0.84,0.0913,0.942,0,7,0.0914,-2.596,0,0.214,127.957,4,0.855,0,energetic
120,spotify:track:6WDUvd96KA8LkrmXcvGr7X,0.663,0.0529,0.941,6.09E-05,11,0.0639,-3.714,0,0.0538,128.015,4,0.588,0,energetic
121,spotify:track:3pJQw2L9lqU7f3Sj7kIaF2,0.624,0.00578,0.997,3.85E-05,4,0.136,-3.02,1,0.0527,145.056,4,0.593,0,energetic
122,spotify:track:0mpysz17IQV5FG3JiqbvDx,0.81,0.16,0.819,0.000291,7,0.127,-4.804,1,0.0366,125.03,4,0.521,0,energetic
123,spotify:track:0tjQxtpAyQdTJ1MBubNxHk,0.61,0.00628,0.716,0,2,0.449,-6.36,1,0.093,125.064,4,0.59,0,energetic
124,spotify:track:2ACOWPLUe4A4KuQ5ioD2od,0.596,0.0358,0.851,3.19E-05,5,0.365,-4.245,0,0.121,202.049,4,0.612,0,energetic
125,spotify:track:1IIKrJVP1C9N7iPtG6eOsK,0.755,0.316,0.578,0,0,0.25,-8.932,0,0.145,94.148,4,0.581,0,energetic
126,spotify:track:14049SK9mH6Xcl4O4650xf,0.716,0.14,0.829,0,4,0.137,-4.311,1,0.271,190.038,4,0.704,0,energetic
127,spotify:track:2s5YN9O8Qv25BjQobPHWVZ,0.431,0.00618,0.862,0,7,0.322,-7.005,0,0.428,124.93,4,0.696,0,energetic
128,spotify:track:7mitXLIMCflkhZiD34uEQI,0.751,0.0206,0.736,0,5,0.265,-4.168,0,0.156,130.014,4,0.352,0,energetic
129,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,0.743,0.0873,0.766,0,0,0.509,-6.375,1,0.0265,127.96,4,0.61,0,energetic
130,spotify:track:5rb9QrpfcKFHM1EUbSIurX,0.894,0.0183,0.791,0,2,0.0388,-4.699,1,0.112,105.018,4,0.583,0,energetic
131,spotify:track:455AfCsOhhLPRc68sE01D8,0.649,0.00125,0.815,4.31E-05,3,0.671,-3.796,0,0.0415,126.03,4,0.765,0,energetic
132,spotify:track:6qn9YLKt13AGvpq9jfO8py,0.734,0.025,0.766,0.00138,1,0.108,-4.485,1,0.0383,127.986,4,0.6,0,energetic
133,spotify:track:2P4OICZRVAQcYAV2JReRfj,0.579,0.31,0.736,0,6,0.198,-3.863,0,0.0527,127.999,4,0.613,0,energetic
134,spotify:track:3bC1ahPIYt1btJzSSEyyrF,0.747,0.0208,0.937,0,0,0.29,-5.746,1,0.0453,103.976,4,0.739,0,energetic
135,spotify:track:0azC730Exh71aQlOt9Zj3y,0.631,0.199,0.927,0.119,9,0.148,-2.787,0,0.0332,123.962,4,0.465,0,energetic
136,spotify:track:0ByMNEPAPpOR5H69DVrTNy,0.835,0.0336,0.669,6.92E-05,6,0.0535,-5.582,0,0.0643,122.668,4,0.542,0,energetic
137,spotify:track:2YWjW3wwQIBLNhxWKBQd16,0.723,0.00346,0.809,0.00123,7,0.565,-3.081,0,0.0625,98.007,4,0.274,0,energetic
138,spotify:track:6GtL6fPNeN4D87n6CrImcS,0.532,0.00217,0.929,0,11,0.225,-3.727,0,0.0682,140.044,4,0.448,0,energetic
139,spotify:track:4Y7XAxTANhu3lmnLAzhWJW,0.761,0.0908,0.933,8.53E-05,10,0.0607,-5.38,1,0.056,122.959,4,0.836,0,energetic
140,spotify:track:1EoVy97UtixCIpZg8HG4Gm,0.253,0.0131,0.997,0.0472,5,0.601,-4.248,1,0.21,133.908,4,0.0568,0,energetic
141,spotify:track:1zeFW1DxLvfVyKOQDn56iy,0.452,0.0111,0.725,0,3,0.107,-7.894,1,0.112,100.931,4,0.705,0,energetic
142,spotify:track:4ktC5FPH2SPFNWDv2ADxtj,0.347,0.000337,0.94,0.0981,4,0.328,-4.846,0,0.0757,82.142,4,0.481,0,energetic
143,spotify:track:557RCpEOzbKozz9oYZWbYa,0.295,0.000152,0.859,0.0329,6,0.147,-9.586,1,0.134,156.862,4,0.457,0,energetic
144,spotify:track:6qORjPywRg4PorHCqvhPE2,0.412,0.0227,0.66,2.47E-05,7,0.36,-14.612,1,0.036,117.968,4,0.745,0,energetic
145,spotify:track:3cSo8DnubBuQQkBYeiKXAf,0.279,0.000289,0.831,0,1,0.136,-4.908,0,0.0594,107.608,4,0.232,0,energetic
146,spotify:track:1sAHt2zXhsoBGAbeSfwShh,0.363,0.000482,0.763,0.0452,1,0.203,-10.056,1,0.0562,176.16,4,0.784,0,energetic
147,spotify:track:2rouF8N4GCtQferFHVdmOA,0.59,0.00118,0.947,0.0109,11,0.123,-6.423,1,0.0651,120.03,3,0.565,0,energetic
148,spotify:track:19FCatEkbtXF9acRv7xynF,0.256,2.67E-05,0.989,0.00104,5,0.294,-2.635,1,0.239,170.003,4,0.144,0,energetic
149,spotify:track:6MXWzg6189qxVMmVPYB3So,0.307,4.84E-05,0.943,0,0,0.476,-3.405,1,0.138,135.006,4,0.234,0,energetic
150,spotify:track:0FmOnDuigrijIibMJ5KwVR,0.486,9.15E-05,0.907,0.393,6,0.117,-4.758,0,0.0684,92.513,4,0.396,0,energetic
151,spotify:track:5eykRanpNWF1yt4za29Bdl,0.24,0.000822,0.97,7.07E-06,1,0.162,-3.603,1,0.249,84.698,4,0.448,0,energetic
152,spotify:track:5QwANlHdCRCPoXiUoyCifG,0.203,0.00236,0.95,0,10,0.371,-3.568,1,0.115,94.175,4,0.145,0,energetic
153,spotify:track:446K42METC60yDWBBeNtET,0.346,7.81E-05,0.929,0.00329,6,0.122,-6.285,0,0.0934,168.044,4,0.411,0,energetic
154,spotify:track:4G8hqLNnmukgJhBobuG8zw,0.287,2.65E-05,0.96,1.91E-06,5,0.0912,-4.253,1,0.151,140.113,4,0.412,0,energetic
155,spotify:track:58qfx1Hiq7aXVdSML0vRXq,0.334,0.0107,0.548,0.00114,4,0.0663,-13.448,0,0.0296,158.998,4,0.38,0,energetic
156,spotify:track:4BUnNpM27sn42tIaR11LO5,0.41,0.012,0.993,0.00991,6,0.236,-2.343,0,0.187,83.026,3,0.319,0,energetic
157,spotify:track:0xFJPlTxpa9YmWQPs3ptkh,0.489,0.00141,0.884,0.0329,6,0.142,-5.277,1,0.122,134.923,4,0.0873,0,energetic
158,spotify:track:05fg2v4PVHBI11mDnDApbV,0.225,6.40E-06,0.927,0.746,8,0.183,-5.605,1,0.0983,134.592,4,0.135,0,energetic
159,spotify:track:03zxOSw9aojdhosVFut2tp,0.333,0.000196,0.98,0.00342,6,0.222,-3.36,1,0.201,105.054,3,0.386,0,energetic
160,spotify:track:47Bgr3uXLoa5vlzwU9siR3,0.347,2.46E-05,0.472,0.337,8,0.0456,-15.177,1,0.0599,110.723,3,0.838,0,energetic
161,spotify:track:2v7EGKrEGrdTnH0RBrZv7T,0.477,4.67E-06,0.975,0.00231,10,0.59,-2.464,0,0.121,139.993,4,0.26,0,energetic
162,spotify:track:0rXNlb6D9usjYPHRzaA6Au,0.45,1.93E-05,0.988,0.0135,2,0.397,-3.512,1,0.0589,95.013,4,0.238,0,energetic
163,spotify:track:4zIA5A6XFda1Nzwy7pzsh0,0.381,0.00107,0.919,0.868,10,0.0896,-6.609,0,0.0826,149.978,3,0.035,0,energetic
164,spotify:track:52PzFlLf5vRIw5CvHNXq5z,0.355,0.00763,0.957,0.00856,7,0.468,-4.1,1,0.268,135.392,4,0.0994,0,energetic
165,spotify:track:6frQnLCIJOMfETdH1YdQst,0.251,0.000427,0.979,1.73E-05,8,0.194,-4.554,1,0.271,134.785,5,0.145,0,energetic
166,spotify:track:3niV1S7Y8lnZbSAfIR3JOd,0.444,0.0131,0.709,0.245,9,0.476,-16.259,1,0.0459,108.821,4,0.532,0,energetic
167,spotify:track:6HwTcmX1rf01of6GTiPZTg,0.255,1.56E-06,0.97,0.000167,9,0.0801,-4.917,1,0.0726,99.619,4,0.294,0,energetic
